Artista,Canción,Popularidad
Fonseca,Te Mando Flores,9
Cali Y El Dandee,Yo Te Esperaré,2
Cali Y El Dandee,Lumbra,1
Cali Y El Dandee,Por Fin Te Encontré,2
Mariah Angeliq,Taxi,2
Mariah Angeliq,Perreito,5
J Balvin,Ay Vamos,4
KAROL G,A Ella,2
J Balvin,Safari,1
KAROL G,Ahora Me Llama,1
J Balvin,Sigo Extrañándote,2
Daddy Yankee,Shaky Shaky,2
Daddy Yankee,Definitivamente,3
Daddy Yankee,Que Tire Pa Lante,4
Sebastian Yatra,Alguien Robo,2
Daddy Yankee,Con Calma,5
Sebastian Yatra,Devuélveme El Corazón,3
Farina,Mucho Pa Ti,2
Sebastian Yatra,Traicionera,3
Sebastian Yatra,Como Mirarte,2
Joey Montana,Picky,4
Jhayco,Como Se Siente,2
Don Omar,Te Recordaré Bailando,3
Don Omar,Te Quiero Pa´Mi,4
J Balvin,Ahora,3
KAROL G,Mi Cama,4
Kevin Roldan,Manantial,2
J Balvin,Morado,6
Kevin Roldan,PPP,4
KAROL G,BICHOTA,6
J Balvin,No Es Justo,4
Daddy Yankee,Que Tire Pa Lante,2
Fonseca,Arroyito,3
Sebastian Yatra,Ya No Tiene Novio,2
Sebastian Yatra,Runaway,3
Feid,BORRAXXA,5
Lalo Ebratt,Mocca,3
Don Omar,Te Quiero Pa´Mi,2
Feid,PORFA,2
Sebastian Yatra,Chica Ideal,6
Jhayco,Imaginaste,6
Feid,911,2
Feid,FRESH KERIAS,3
Lele Pons,Se Te Nota,7
Kevin Roldan,Delicioso EQSEP,3
J Balvin,Morado,3
J Balvin,Azul,3
KAROL G,"Ay, DiOs Mío!",2
Kevin Roldan,PPP,2
Kevin Roldan,Manantial,2
