Artista,Canción,Popularidad
Cali Y El Dandee,Yo Te Esperaré,2
Cali Y El Dandee,Lumbra,1
Cali Y El Dandee,Por Fin Te Encontré,2
J Balvin,Ay Vamos,4
KAROL G,Ahora Me Llama,1
J Balvin,Sigo Extrañándote,2
KAROL G,A Ella,2
J Balvin,Safari,1
Jhayco,Como Se Siente,2
Mariah Angeliq,Taxi,2
Mariah Angeliq,Perreito,5
Kevin Roldan,Manantial,2
KAROL G,BICHOTA,6
J Balvin,Ahora,3
KAROL G,Mi Cama,4
J Balvin,No Es Justo,4
Kevin Roldan,PPP,4
J Balvin,Morado,6
Daddy Yankee,Definitivamente,3
Daddy Yankee,Que Tire Pa Lante,4
Daddy Yankee,Shaky Shaky,2
Daddy Yankee,Con Calma,5
Jhayco,Imaginaste,6
Feid,BORRAXXA,5
Farina,Mucho Pa Ti,2
Feid,911,2
Lalo Ebratt,Mocca,3
Feid,PORFA,2
Feid,FRESH KERIAS,3
J Balvin,Azul,3
KAROL G,"Ay, DiOs Mío!",2
J Balvin,Morado,3
Kevin Roldan,Manantial,2
Kevin Roldan,Delicioso EQSEP,3
Don Omar,Te Recordaré Bailando,3
Kevin Roldan,PPP,2
Don Omar,Te Quiero Pa´Mi,4
J Balvin,Ahora,2
KAROL G,Culpables,1
KAROL G,BICHOTA,3
J Balvin,LA CANCIÓN,5
J Balvin,No Es Justo,2
Daddy Yankee,Que Tire Pa Lante,2
J Balvin,Negro,7
Feid,BORRAXXA,3
Feid,badwine - Remix,1
Feid,911,1
Lalo Ebratt,Mocca,2
Feid,FRESH KERIAS,2
Feid,PORFA,2
